task_type,estimated_duration,deadline_pressure,time_of_day,energy_level,mood_level,task_familiarity,reward_clarity,consequence_severity,previous_delay_count,environment_noise,device_distraction,social_obligation,friction_score,friction_level
household,58,medium,morning,2,6,new,moderate,6,1,medium,low,work,38.0,medium
academic,39,low,afternoon,4,7,new,moderate,5,6,medium,medium,college,49.21,medium
academic,51,low,evening,7,1,new,unclear,1,4,medium,medium,college,64.55,medium
academic,50,low,afternoon,2,5,new,clear,5,4,medium,low,work,40.89,medium
health,91,high,evening,7,9,repeated,clear,2,3,high,low,family,30.66,low
finance,8,medium,evening,9,6,repeated,moderate,6,7,low,high,individual,16.93,low
communication,14,low,evening,10,4,repeated,clear,7,4,low,medium,college,12.89,low
communication,111,low,evening,3,4,repeated,unclear,5,5,low,high,individual,57.46,medium
personal_admin,79,low,evening,8,5,repeated,unclear,9,0,medium,medium,work,37.26,medium
academic,44,high,afternoon,5,5,repeated,unclear,9,6,high,medium,individual,82.12,high
household,59,low,afternoon,10,6,repeated,moderate,3,3,high,medium,individual,18.88,low
household,77,medium,afternoon,10,3,repeated,moderate,1,1,medium,medium,college,16.19,low
health,44,low,afternoon,10,4,new,moderate,6,4,medium,high,college,27.79,low
personal_admin,80,medium,afternoon,4,5,repeated,clear,2,7,medium,medium,individual,35.54,medium
academic,85,low,afternoon,8,2,new,unclear,5,3,high,low,college,50.8,medium
personal_admin,100,low,afternoon,10,10,repeated,moderate,10,4,low,medium,work,17.46,low
health,27,medium,afternoon,1,4,repeated,unclear,3,4,medium,medium,individual,35.34,medium
academic,19,medium,evening,7,7,repeated,unclear,4,6,medium,medium,college,44.05,medium
household,119,medium,morning,9,4,repeated,clear,2,6,medium,medium,college,19.72,low
household,96,low,evening,7,8,repeated,moderate,8,3,medium,medium,work,34.43,low
personal_admin,120,medium,evening,9,1,repeated,unclear,10,0,medium,high,family,53.27,medium
academic,106,low,afternoon,7,9,new,moderate,10,2,medium,low,family,35.11,medium
health,9,medium,morning,2,5,repeated,moderate,6,7,low,high,individual,46.26,medium
household,44,low,morning,5,2,repeated,moderate,4,0,medium,medium,individual,21.61,low
finance,22,low,night,4,6,repeated,unclear,4,0,medium,medium,individual,34.47,low
household,25,low,evening,10,4,repeated,moderate,7,4,low,low,individual,12.09,low
communication,83,low,afternoon,8,8,repeated,moderate,10,7,medium,low,individual,34.11,low
health,7,medium,morning,10,8,repeated,clear,8,4,medium,low,work,6.99,low
health,50,medium,evening,9,10,new,moderate,6,5,medium,low,individual,31.72,low
personal_admin,94,medium,afternoon,9,7,repeated,unclear,10,3,high,low,individual,55.92,medium
academic,83,low,night,3,3,repeated,moderate,2,6,medium,medium,individual,58.42,medium
finance,113,low,afternoon,3,10,repeated,moderate,4,5,medium,medium,individual,39.31,medium
academic,57,low,evening,5,4,repeated,moderate,10,7,high,medium,individual,66.84,high
household,24,low,afternoon,2,3,repeated,clear,4,0,medium,medium,family,19.34,low
communication,63,low,morning,4,1,repeated,unclear,4,6,low,high,family,51.45,medium
household,25,low,morning,3,7,repeated,moderate,6,4,medium,medium,individual,19.77,low
communication,94,high,night,6,10,new,clear,1,7,low,low,work,36.07,medium
personal_admin,109,medium,afternoon,1,8,new,moderate,9,0,medium,low,college,52.53,medium
academic,91,medium,morning,5,8,repeated,clear,1,7,medium,low,work,19.27,low
finance,117,medium,evening,4,8,repeated,clear,5,3,medium,high,family,48.85,medium
household,55,high,night,1,1,repeated,clear,10,2,high,medium,family,62.34,medium
academic,29,low,afternoon,4,1,repeated,moderate,7,5,medium,low,family,35.47,medium
academic,72,low,evening,7,10,repeated,unclear,1,5,high,medium,work,43.9,medium
personal_admin,120,high,morning,3,5,new,clear,4,2,medium,high,individual,53.55,medium
personal_admin,14,medium,evening,5,10,repeated,moderate,7,3,medium,low,college,7.77,low
personal_admin,90,medium,morning,8,3,new,moderate,6,5,low,medium,individual,49.97,medium
personal_admin,71,medium,afternoon,3,1,new,moderate,6,3,medium,high,work,65.1,high
academic,87,medium,afternoon,3,2,new,moderate,5,5,medium,low,individual,67.0,high
household,99,medium,evening,8,8,repeated,unclear,7,2,medium,low,family,42.36,medium
finance,13,medium,morning,3,5,repeated,clear,3,5,medium,high,family,24.04,low
communication,33,low,afternoon,2,4,new,unclear,5,1,medium,high,college,49.63,medium
household,41,medium,evening,2,2,repeated,unclear,8,3,medium,low,individual,42.78,medium
household,114,high,night,8,8,repeated,unclear,1,6,medium,medium,individual,66.72,high
communication,75,medium,afternoon,6,6,repeated,unclear,10,1,low,medium,college,51.35,medium
communication,42,low,morning,10,8,new,clear,1,2,medium,medium,college,-9.97,low
academic,92,medium,morning,3,1,new,moderate,2,7,low,medium,individual,59.55,medium
communication,76,low,night,10,3,repeated,moderate,10,6,high,medium,individual,43.43,medium
communication,102,high,night,10,1,new,clear,4,7,low,high,college,76.79,high
communication,63,medium,morning,1,4,new,moderate,7,7,low,low,individual,66.51,high
academic,61,low,evening,6,5,repeated,moderate,8,3,high,high,individual,48.77,medium
finance,94,medium,afternoon,9,6,repeated,unclear,7,0,medium,medium,individual,34.3,low
academic,64,medium,evening,6,6,new,moderate,1,3,low,medium,individual,45.78,medium
household,32,low,morning,1,7,repeated,moderate,9,1,medium,medium,family,7.68,low
health,32,low,afternoon,6,6,repeated,moderate,4,0,medium,medium,college,16.69,low
communication,50,medium,evening,9,3,repeated,unclear,6,3,low,medium,individual,53.04,medium
household,75,high,night,6,2,new,moderate,3,4,low,medium,work,59.6,medium
finance,71,low,night,3,8,new,unclear,9,5,medium,medium,family,68.69,high
communication,120,medium,morning,2,6,new,moderate,4,6,high,medium,individual,67.39,high
health,90,low,night,8,1,repeated,moderate,2,7,medium,medium,work,43.8,medium
finance,59,low,evening,2,10,new,moderate,2,4,high,low,college,51.39,medium
communication,42,low,evening,7,10,new,clear,6,3,low,high,family,13.82,low
communication,114,low,night,3,9,repeated,unclear,4,2,medium,low,college,55.39,medium
academic,112,high,afternoon,5,2,new,moderate,2,1,low,low,family,42.6,medium
household,22,high,afternoon,3,10,repeated,unclear,9,2,low,high,college,48.4,medium
household,80,low,night,3,5,repeated,clear,9,2,medium,medium,individual,36.55,medium
communication,99,low,morning,7,2,repeated,moderate,2,2,medium,medium,college,13.5,low
communication,67,high,night,7,9,repeated,unclear,7,0,medium,medium,work,46.5,medium
household,107,low,evening,7,9,new,unclear,6,5,low,low,family,34.52,low
academic,9,low,afternoon,4,3,repeated,clear,3,7,medium,medium,family,51.31,medium
communication,48,low,evening,8,2,repeated,unclear,10,5,medium,low,family,50.27,medium
household,109,medium,afternoon,9,8,new,moderate,10,6,low,medium,individual,56.32,medium
finance,33,low,evening,1,9,new,unclear,5,6,low,high,work,47.11,medium
academic,111,medium,afternoon,7,2,new,moderate,5,5,low,medium,individual,69.7,high
communication,104,medium,morning,8,9,new,unclear,5,3,medium,low,family,23.91,low
personal_admin,18,low,night,2,3,repeated,moderate,9,5,medium,medium,work,50.84,medium
academic,62,low,afternoon,6,1,repeated,clear,10,5,low,medium,family,41.58,medium
communication,48,high,afternoon,5,6,repeated,moderate,3,1,low,high,individual,42.19,medium
academic,22,high,night,4,2,new,unclear,2,7,high,medium,college,97.42,high
communication,11,medium,afternoon,4,1,repeated,moderate,9,6,low,medium,work,47.91,medium
communication,91,low,evening,10,4,repeated,unclear,2,5,medium,low,college,46.95,medium
household,101,low,night,6,9,repeated,unclear,3,6,high,high,college,46.87,medium
communication,66,medium,afternoon,1,8,repeated,unclear,9,4,medium,high,college,57.79,medium
personal_admin,49,low,evening,1,3,repeated,clear,8,6,low,medium,individual,51.99,medium
academic,20,high,afternoon,4,8,repeated,moderate,7,6,high,low,family,49.22,medium
academic,68,low,morning,3,6,repeated,clear,2,0,medium,low,individual,9.28,low
personal_admin,41,medium,morning,5,5,repeated,unclear,7,4,medium,high,family,42.49,medium
communication,119,low,evening,10,1,repeated,moderate,1,1,high,high,work,38.82,medium
personal_admin,29,medium,afternoon,10,9,repeated,unclear,5,6,medium,low,work,34.32,low
communication,13,medium,evening,5,2,new,clear,2,6,medium,medium,individual,43.14,medium
health,59,low,morning,1,9,repeated,unclear,1,0,low,medium,work,15.05,low
household,32,low,evening,5,5,repeated,moderate,7,5,medium,medium,individual,58.67,medium
finance,13,medium,morning,6,3,repeated,unclear,7,4,low,medium,college,29.88,low
personal_admin,16,high,evening,4,10,new,unclear,1,0,low,low,work,38.55,medium
communication,22,medium,evening,10,7,new,clear,7,3,medium,high,work,38.36,medium
academic,95,low,night,2,1,repeated,clear,3,1,high,high,individual,43.57,medium
household,94,high,evening,10,5,new,clear,3,1,medium,medium,family,30.9,low
academic,60,low,morning,9,5,repeated,unclear,3,1,medium,medium,individual,14.82,low
academic,94,low,evening,9,7,new,clear,2,2,medium,medium,work,17.11,low
household,78,low,afternoon,9,8,repeated,moderate,2,2,low,high,individual,12.95,low
communication,62,low,night,9,8,repeated,clear,3,6,high,medium,college,23.35,low
communication,85,low,night,10,1,repeated,unclear,5,4,high,low,family,46.75,medium
household,55,medium,morning,7,4,repeated,unclear,1,1,high,medium,individual,23.38,low
communication,36,low,morning,2,6,new,clear,7,6,low,medium,family,41.55,medium
academic,92,medium,night,7,10,new,clear,3,1,medium,low,family,23.87,low
academic,111,low,night,1,2,repeated,moderate,2,6,low,low,family,48.29,medium
academic,52,medium,evening,6,7,repeated,clear,4,0,low,medium,work,16.77,low
communication,12,low,night,6,9,new,unclear,7,2,high,low,work,39.17,medium
academic,34,low,night,5,10,new,moderate,7,7,low,medium,family,59.01,medium
household,30,low,evening,7,5,new,clear,6,0,high,high,individual,33.27,low
household,28,low,evening,3,5,repeated,clear,10,2,low,medium,college,7.86,low
health,31,low,evening,7,5,repeated,moderate,1,5,high,high,individual,28.81,low
academic,83,medium,morning,6,9,repeated,moderate,5,5,low,medium,college,31.96,low
communication,96,low,afternoon,3,5,new,clear,1,0,high,high,college,42.97,medium
finance,79,low,evening,6,4,repeated,clear,5,0,medium,medium,family,27.4,low
health,43,low,evening,1,8,repeated,clear,4,5,high,low,family,35.35,medium
personal_admin,70,medium,morning,2,4,repeated,moderate,3,3,low,low,individual,40.84,medium
academic,55,medium,night,10,8,repeated,moderate,1,0,high,medium,individual,19.37,low
academic,77,medium,evening,4,7,new,moderate,5,6,medium,low,college,57.91,medium
personal_admin,54,high,morning,5,8,repeated,moderate,5,3,medium,high,family,38.47,medium
communication,49,high,afternoon,3,2,new,moderate,7,1,low,medium,college,65.98,high
communication,91,low,night,4,4,new,unclear,5,0,high,medium,individual,57.24,medium
finance,37,low,afternoon,2,3,repeated,clear,8,3,medium,medium,college,30.98,low
finance,23,high,evening,8,7,repeated,clear,1,5,medium,high,family,18.92,low
personal_admin,17,low,morning,5,9,repeated,moderate,1,6,medium,medium,family,12.61,low
personal_admin,82,medium,afternoon,1,6,repeated,moderate,8,7,medium,medium,family,70.07,high
finance,100,high,night,4,4,new,unclear,5,0,medium,high,individual,77.96,high
household,117,medium,afternoon,10,10,repeated,moderate,7,3,medium,low,individual,1.66,low
personal_admin,26,low,evening,2,4,repeated,clear,6,3,low,medium,family,12.74,low
academic,24,medium,morning,9,3,repeated,moderate,10,0,low,medium,individual,31.8,low
academic,101,low,evening,5,6,repeated,clear,1,2,low,medium,individual,21.15,low
personal_admin,9,high,afternoon,6,3,repeated,moderate,6,3,medium,low,work,38.74,medium
household,88,low,night,9,5,repeated,clear,6,7,high,medium,individual,46.49,medium
academic,82,medium,night,9,5,repeated,clear,1,3,medium,low,college,17.44,low
academic,95,medium,evening,3,5,repeated,unclear,10,2,low,medium,individual,54.94,medium
personal_admin,94,low,morning,9,7,repeated,moderate,5,0,medium,medium,individual,24.41,low
communication,36,low,afternoon,4,5,repeated,unclear,6,1,low,low,family,23.52,low
finance,34,low,afternoon,1,1,repeated,unclear,9,7,low,high,individual,73.27,high
academic,95,medium,evening,8,7,repeated,unclear,2,1,medium,high,college,36.52,medium
health,30,high,afternoon,2,7,repeated,clear,4,6,medium,low,work,30.55,low
health,86,low,afternoon,10,10,repeated,unclear,5,2,medium,low,college,3.52,low
household,113,low,evening,4,3,new,moderate,5,1,medium,medium,individual,47.18,medium
household,91,medium,evening,3,6,repeated,unclear,1,3,high,medium,college,63.22,medium
academic,112,low,evening,9,5,new,moderate,5,0,medium,low,work,33.9,low
personal_admin,115,medium,night,5,1,new,unclear,10,7,medium,low,college,92.81,high
communication,92,low,night,2,7,new,moderate,7,1,low,medium,individual,46.63,medium
personal_admin,8,medium,evening,4,4,repeated,unclear,9,1,medium,medium,work,37.98,medium
household,109,low,afternoon,5,2,new,clear,6,7,high,medium,family,38.72,medium
health,71,low,evening,6,2,repeated,unclear,4,7,medium,medium,individual,48.86,medium
health,47,medium,afternoon,8,8,new,unclear,7,4,high,high,college,55.79,medium
finance,34,low,evening,9,3,repeated,clear,3,7,medium,medium,work,26.42,low
personal_admin,115,high,afternoon,9,6,repeated,moderate,3,7,medium,low,individual,49.92,medium
household,20,medium,morning,1,8,repeated,unclear,7,0,medium,medium,family,34.77,low
academic,75,low,evening,1,7,repeated,unclear,2,4,medium,low,family,45.96,medium
finance,43,high,evening,3,3,new,moderate,3,4,medium,low,individual,63.89,medium
finance,90,low,morning,8,9,repeated,moderate,5,3,medium,high,individual,30.7,low
communication,45,medium,afternoon,5,2,repeated,clear,8,5,medium,medium,work,41.71,medium
academic,35,low,afternoon,10,8,repeated,clear,6,5,high,medium,individual,10.85,low
communication,53,low,evening,6,7,repeated,moderate,8,0,high,low,family,14.43,low
household,17,high,evening,8,10,repeated,moderate,5,7,medium,medium,family,58.4,medium
household,109,high,morning,4,2,repeated,unclear,7,1,medium,medium,individual,51.01,medium
communication,45,medium,morning,9,5,new,clear,9,5,medium,medium,individual,40.26,medium
finance,120,medium,evening,10,5,repeated,unclear,7,3,medium,high,work,50.81,medium
academic,97,high,night,4,10,repeated,unclear,2,5,high,medium,individual,77.47,high
household,32,medium,night,10,2,repeated,moderate,1,2,low,low,individual,9.64,low
household,112,low,afternoon,10,8,repeated,unclear,8,1,low,high,family,25.48,low
academic,68,low,afternoon,5,2,repeated,unclear,1,7,low,high,college,49.55,medium
health,23,high,night,6,7,repeated,moderate,1,0,medium,low,work,29.18,low
personal_admin,91,high,afternoon,6,6,new,unclear,1,2,high,low,family,57.04,medium
household,115,high,afternoon,8,7,repeated,moderate,4,2,medium,medium,individual,32.62,low
health,118,low,evening,9,9,new,clear,3,5,low,low,individual,14.31,low
personal_admin,76,medium,afternoon,1,5,repeated,moderate,2,5,medium,medium,work,48.07,medium
health,29,low,evening,3,7,new,moderate,10,0,low,low,individual,28.17,low
academic,42,medium,evening,7,4,new,unclear,10,4,low,low,family,61.96,medium
personal_admin,106,medium,night,3,4,repeated,clear,3,2,high,high,individual,48.56,medium
household,103,low,morning,5,10,new,moderate,6,5,medium,medium,college,46.9,medium
household,94,medium,afternoon,4,9,new,clear,3,4,medium,high,family,45.03,medium
academic,7,low,evening,5,7,new,unclear,2,2,medium,medium,individual,29.72,low
communication,6,low,afternoon,3,8,new,moderate,5,4,low,medium,individual,32.86,low
academic,9,low,evening,3,9,repeated,moderate,5,0,high,low,college,24.2,low
academic,65,medium,evening,10,7,repeated,clear,1,7,low,medium,individual,13.51,low
household,24,low,afternoon,8,5,new,moderate,2,7,low,low,college,16.87,low
health,80,low,afternoon,3,4,repeated,unclear,9,1,high,medium,college,45.7,medium
personal_admin,42,low,morning,8,4,repeated,clear,10,3,high,medium,work,21.76,low
household,84,medium,evening,5,7,repeated,clear,4,0,low,medium,individual,19.57,low
personal_admin,105,low,evening,1,1,repeated,moderate,5,1,medium,low,work,49.18,medium
personal_admin,106,medium,evening,2,1,new,moderate,9,5,medium,low,individual,77.24,high
health,40,high,afternoon,7,8,new,moderate,8,6,medium,medium,family,59.0,medium
academic,50,medium,evening,1,6,repeated,unclear,5,4,medium,high,family,54.36,medium
finance,97,medium,morning,2,1,new,moderate,2,4,low,medium,college,54.74,medium
personal_admin,103,medium,afternoon,1,5,repeated,unclear,6,6,low,high,individual,77.43,high
finance,117,low,afternoon,10,8,new,moderate,4,2,high,high,individual,32.17,low
household,41,low,morning,7,1,repeated,clear,4,5,medium,high,individual,29.82,low
communication,58,medium,morning,2,10,repeated,moderate,8,5,low,high,individual,56.99,medium
communication,25,high,evening,10,8,repeated,moderate,8,3,low,low,family,12.76,low
communication,25,high,night,3,3,new,moderate,10,2,high,high,individual,80.64,high
academic,96,high,afternoon,7,10,new,moderate,10,3,medium,high,work,55.78,medium
household,74,high,morning,1,10,repeated,moderate,4,6,medium,low,individual,38.33,medium
health,88,low,night,4,3,repeated,clear,9,4,medium,low,family,40.16,medium
personal_admin,64,low,night,7,4,new,clear,4,0,low,medium,college,31.42,low
academic,40,low,evening,2,8,new,unclear,1,1,low,medium,individual,34.5,low
personal_admin,81,medium,afternoon,4,10,repeated,clear,6,5,medium,medium,individual,21.65,low
household,108,low,morning,9,8,repeated,moderate,8,0,high,medium,family,22.74,low
finance,15,high,night,7,2,new,unclear,8,7,medium,medium,college,84.33,high
health,92,medium,night,3,2,repeated,unclear,8,2,medium,medium,individual,62.48,medium
health,87,medium,evening,3,5,repeated,clear,4,4,low,high,individual,44.42,medium
personal_admin,91,low,night,4,1,repeated,clear,4,0,low,low,family,25.44,low
household,35,low,morning,4,8,repeated,clear,6,1,low,medium,college,-7.99,low
personal_admin,105,low,morning,8,9,new,moderate,7,2,low,medium,individual,16.59,low
academic,41,high,morning,6,4,repeated,unclear,9,6,medium,medium,family,75.02,high
finance,64,low,morning,6,8,new,moderate,2,5,medium,low,work,24.55,low
finance,65,medium,evening,8,2,new,unclear,7,1,medium,medium,individual,70.21,high
finance,71,high,night,8,7,new,clear,1,2,medium,medium,college,34.05,low
household,102,low,morning,8,5,repeated,clear,4,3,medium,medium,college,21.56,low
personal_admin,33,low,afternoon,1,10,new,unclear,6,6,low,medium,work,52.5,medium
academic,71,medium,afternoon,8,3,repeated,unclear,2,4,high,high,individual,53.4,medium
academic,83,medium,morning,5,3,repeated,moderate,8,3,medium,high,individual,56.06,medium
finance,75,high,night,3,1,repeated,unclear,4,7,low,medium,family,87.72,high
communication,71,low,afternoon,7,1,new,moderate,9,2,low,low,family,47.37,medium
health,115,low,evening,2,8,repeated,clear,9,0,high,medium,individual,37.5,medium
household,111,low,afternoon,10,10,repeated,moderate,4,0,low,low,individual,-3.71,low
academic,20,medium,evening,10,5,repeated,unclear,10,4,medium,low,college,35.26,medium
health,49,low,evening,6,8,repeated,moderate,9,6,medium,high,individual,50.94,medium
communication,38,medium,afternoon,4,4,repeated,clear,3,7,medium,medium,work,32.99,low
academic,88,medium,morning,1,7,repeated,clear,8,1,medium,low,individual,35.76,medium
finance,48,medium,evening,6,10,new,clear,2,5,high,medium,work,35.71,medium
communication,107,low,evening,3,5,new,unclear,7,7,low,medium,individual,69.94,high
communication,101,medium,morning,4,4,new,clear,4,0,medium,low,family,-4.77,low
communication,82,high,morning,4,5,repeated,clear,8,4,medium,medium,college,39.01,medium
health,46,low,morning,8,4,repeated,unclear,3,6,medium,medium,family,42.01,medium
health,39,low,night,7,3,new,unclear,2,2,low,medium,individual,44.58,medium
finance,79,medium,morning,9,8,new,clear,10,5,low,low,college,34.64,low
academic,88,medium,morning,7,6,repeated,unclear,10,1,low,medium,college,37.88,medium
health,34,low,evening,9,1,new,moderate,9,4,high,medium,individual,47.16,medium
finance,57,medium,evening,1,10,new,moderate,1,2,high,high,work,50.62,medium
finance,62,low,afternoon,4,6,repeated,moderate,10,7,high,high,individual,62.45,medium
household,32,low,evening,1,8,repeated,moderate,8,5,low,medium,family,41.54,medium
personal_admin,19,low,afternoon,6,4,repeated,unclear,4,7,high,low,family,49.56,medium
finance,42,high,morning,2,2,new,unclear,6,5,low,low,individual,58.24,medium
academic,54,high,afternoon,10,4,new,unclear,3,5,medium,medium,college,51.47,medium
household,17,low,afternoon,9,9,repeated,clear,6,2,low,medium,individual,-3.66,low
personal_admin,115,low,morning,4,7,repeated,unclear,7,1,low,low,family,10.52,low
academic,39,low,morning,4,10,new,clear,9,1,medium,medium,individual,8.59,low
personal_admin,115,low,night,6,7,repeated,moderate,7,0,medium,medium,work,34.37,low
finance,28,high,afternoon,5,2,repeated,moderate,9,0,high,medium,college,62.63,medium
communication,69,low,afternoon,6,3,repeated,moderate,1,4,high,low,work,29.06,low
household,110,low,night,9,7,new,clear,6,7,low,medium,family,42.22,medium
academic,92,low,morning,6,5,repeated,unclear,1,3,medium,medium,family,36.21,medium
personal_admin,95,low,morning,6,8,repeated,clear,5,6,medium,medium,family,38.27,medium
household,22,medium,evening,4,7,repeated,moderate,6,4,medium,low,individual,34.49,low
health,62,medium,afternoon,7,4,repeated,moderate,8,6,medium,medium,work,50.58,medium
household,30,low,evening,4,4,new,unclear,4,5,low,medium,individual,38.77,medium
academic,33,low,evening,5,8,repeated,moderate,1,7,high,medium,individual,55.52,medium
academic,76,medium,morning,4,9,new,unclear,3,4,high,medium,family,49.16,medium
communication,48,medium,afternoon,9,8,new,moderate,9,6,medium,medium,college,56.65,medium
personal_admin,94,low,afternoon,6,5,repeated,clear,6,7,low,medium,college,19.18,low
household,9,low,evening,10,1,repeated,clear,1,4,low,low,individual,-6.79,low
household,37,low,evening,6,6,new,moderate,8,0,medium,medium,work,17.6,low
household,108,low,morning,5,3,new,moderate,5,5,low,low,individual,48.61,medium
communication,9,low,afternoon,9,4,new,moderate,10,0,low,low,college,3.81,low
household,117,low,afternoon,5,10,repeated,moderate,5,0,medium,medium,individual,15.81,low
personal_admin,115,low,evening,8,1,repeated,moderate,6,1,low,high,college,35.86,medium
communication,40,low,afternoon,6,5,repeated,unclear,6,3,low,medium,individual,24.95,low
communication,81,low,night,6,8,new,unclear,2,3,medium,low,individual,44.09,medium
academic,85,medium,afternoon,3,2,repeated,unclear,1,0,medium,medium,work,41.47,medium
personal_admin,17,medium,morning,9,6,repeated,moderate,2,3,low,high,family,18.17,low
academic,29,low,afternoon,10,10,repeated,moderate,1,0,medium,high,college,-12.04,low
academic,62,medium,afternoon,3,8,repeated,unclear,9,3,medium,medium,individual,50.74,medium
finance,6,medium,evening,9,8,new,clear,1,4,low,medium,college,13.07,low
communication,92,high,night,2,7,repeated,unclear,9,6,medium,medium,work,86.51,high
household,40,medium,night,8,9,repeated,unclear,4,5,low,high,individual,42.28,medium
household,29,medium,morning,7,7,repeated,unclear,3,3,low,high,college,25.25,low
health,38,medium,morning,3,10,repeated,moderate,9,6,medium,medium,individual,46.26,medium
academic,16,medium,night,7,6,repeated,moderate,6,3,medium,medium,college,40.7,medium
health,23,low,evening,8,6,repeated,moderate,7,7,medium,high,college,47.48,medium
communication,118,low,afternoon,4,4,new,clear,2,2,medium,low,work,22.53,low
household,110,low,evening,9,8,repeated,unclear,3,2,high,medium,individual,24.62,low
communication,98,low,evening,8,2,repeated,moderate,5,5,low,high,family,41.16,medium
household,41,low,afternoon,10,10,repeated,clear,3,6,low,low,individual,-11.92,low
health,111,low,night,2,2,repeated,unclear,3,6,high,medium,work,68.89,high
communication,5,high,afternoon,6,9,repeated,clear,9,2,high,medium,individual,26.1,low
household,64,low,afternoon,1,8,new,clear,1,7,low,high,individual,41.96,medium
communication,71,medium,evening,1,5,new,unclear,1,5,high,medium,individual,71.24,high
personal_admin,53,high,morning,10,3,new,moderate,6,6,medium,low,individual,45.24,medium
household,94,medium,evening,1,4,repeated,unclear,2,4,high,medium,individual,57.08,medium
personal_admin,83,medium,evening,7,3,new,clear,7,7,low,medium,family,57.35,medium
household,50,medium,morning,7,5,repeated,moderate,1,5,medium,low,college,13.32,low
academic,115,low,afternoon,1,8,repeated,unclear,5,1,low,medium,family,26.2,low
academic,52,low,evening,5,3,new,unclear,8,7,high,low,family,68.45,high
household,96,high,night,5,4,repeated,moderate,9,3,low,low,family,39.18,medium
academic,72,low,night,6,9,repeated,clear,3,7,medium,medium,work,25.34,low
academic,23,high,morning,4,4,repeated,moderate,2,4,low,low,work,39.25,medium
personal_admin,92,low,evening,2,5,repeated,unclear,7,1,low,high,college,46.94,medium
health,44,medium,morning,4,4,new,unclear,3,0,high,high,individual,40.25,medium
finance,10,medium,afternoon,5,6,repeated,unclear,3,4,high,medium,individual,28.06,low
academic,84,high,evening,3,6,repeated,unclear,2,2,high,low,college,57.74,medium
academic,100,low,morning,2,6,new,moderate,7,0,high,medium,work,33.97,low
academic,98,high,night,6,5,repeated,moderate,9,2,high,medium,individual,78.01,high
finance,67,low,evening,10,7,repeated,unclear,2,7,high,medium,individual,55.6,medium
personal_admin,39,medium,afternoon,4,3,new,moderate,2,7,low,medium,individual,42.68,medium
household,76,medium,afternoon,7,8,repeated,moderate,2,3,low,low,work,10.65,low
academic,65,low,night,6,3,repeated,unclear,4,2,medium,high,individual,38.62,medium
communication,9,medium,morning,8,3,new,unclear,1,7,low,low,college,43.96,medium
household,41,low,morning,5,4,repeated,clear,6,2,medium,low,individual,-2.72,low
household,80,low,afternoon,6,2,new,moderate,9,1,high,low,work,28.75,low
communication,93,medium,afternoon,9,6,repeated,unclear,1,7,medium,medium,work,52.8,medium
finance,101,high,night,5,8,new,unclear,3,4,medium,low,college,67.4,high
academic,107,medium,morning,9,10,repeated,moderate,4,0,medium,low,individual,-0.23,low
academic,92,medium,afternoon,3,9,new,unclear,3,1,low,medium,individual,40.24,medium
personal_admin,15,medium,evening,9,4,new,moderate,1,3,high,low,individual,26.09,low
academic,110,high,evening,2,4,repeated,moderate,10,3,high,medium,family,82.31,high
academic,103,high,evening,8,1,repeated,moderate,10,6,low,low,individual,63.36,medium
academic,44,medium,afternoon,1,9,repeated,unclear,2,1,high,low,individual,26.24,low
academic,69,low,morning,9,2,repeated,unclear,4,3,medium,medium,individual,28.66,low
household,12,low,night,7,4,repeated,unclear,2,7,medium,high,family,40.59,medium
health,91,low,afternoon,10,7,repeated,clear,2,0,medium,medium,college,-3.09,low
household,88,high,evening,1,8,repeated,moderate,9,4,high,medium,college,59.5,medium
household,100,high,night,1,10,repeated,clear,2,0,medium,medium,individual,36.16,medium
finance,15,medium,afternoon,8,2,repeated,moderate,2,7,medium,medium,family,54.51,medium
communication,75,high,night,9,6,repeated,clear,1,6,high,medium,work,45.01,medium
personal_admin,62,low,afternoon,2,1,new,moderate,5,6,low,medium,college,48.93,medium
personal_admin,98,medium,night,3,10,repeated,unclear,2,4,low,high,work,67.97,high
academic,52,medium,evening,2,7,repeated,moderate,1,2,high,high,family,38.93,medium
health,107,medium,morning,1,2,repeated,clear,2,3,medium,high,individual,43.34,medium
communication,17,medium,evening,2,6,repeated,unclear,3,4,low,medium,individual,41.81,medium
personal_admin,110,low,night,8,10,repeated,moderate,1,5,low,medium,work,21.98,low
communication,64,medium,evening,2,3,repeated,clear,7,3,medium,medium,work,57.76,medium
personal_admin,53,medium,evening,9,9,repeated,clear,4,2,high,low,family,10.11,low
health,71,high,evening,1,4,repeated,unclear,4,4,low,medium,college,80.83,high
academic,11,medium,evening,6,2,repeated,unclear,3,0,medium,medium,individual,46.79,medium
communication,111,low,afternoon,6,2,repeated,moderate,4,4,high,high,individual,67.08,high
personal_admin,81,medium,evening,6,8,repeated,clear,10,1,low,low,individual,5.7,low
personal_admin,105,low,afternoon,7,2,repeated,unclear,3,5,high,low,work,51.17,medium
academic,29,low,afternoon,1,10,repeated,unclear,6,5,medium,medium,family,42.13,medium
finance,27,medium,morning,9,2,repeated,moderate,3,4,medium,medium,family,27.76,low
household,55,low,night,5,7,new,unclear,8,5,low,medium,individual,40.21,medium
academic,51,medium,afternoon,8,1,repeated,unclear,3,0,high,medium,college,41.18,medium
household,101,low,morning,2,1,new,clear,2,7,low,high,work,53.34,medium
academic,9,low,morning,5,6,new,unclear,9,7,medium,low,family,56.35,medium
